Timestamp,Where do you currently reside? (Select one),What is your age group? (Select one),What is your current employment status? (Select one),  What is your primary source of income?  ,What is your monthly income range (in KES)? (Select one),Do you currently have access to financial advisory services? (Select one),How would you rate your financial literacy? (Linear scale: 1-5),What are your primary financial goals? (Select all that apply),What challenges do you face in achieving your financial goals? (Select all that apply),How often do you seek financial advice? (Select one),Which financial advisory services have you used before?  ,Would you consider using an AI-powered chatbot for financial advice? (Select one),Which chatbot features would be most useful to you? (Select all that apply),What would make you trust an AI-powered financial advisory chatbot? (Select all that apply),How comfortable are you with using digital platforms for financial planning? (Select one),What concerns would you have about using a financial chatbot?  ,What additional features or support would you like from a financial advisory chatbot? (Open-ended question),Any other comments or suggestions? (Open-ended question)
2/27/2025 14:57,Nairobi,18-24 years,Unemployed,Family Support,"50,001-100,000",No,4,"Saving for education, Managing debt","Limited access to financial advisors, Lack of trust in financial advisors",Rarely (Only when needed),"Insurance Companies, Investment Firms, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",No,Personalized investment advice,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,Ease of understanding responses,advance,Data privacy and AI hallucinations should be of key priority.
2/27/2025 16:30,Vihiga,41-60 years,Unemployed,Salary/Wages,"Less than 20,000",Yes,4,"Buying a home, Retirement planning, Investment opportunities, Managing debt","Limited access to financial advisors, Lack of trust in financial advisors",Frequently (Weekly or Monthly),"Banks/Financial Institutions, Insurance Companies, Investment Firms",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support",Availability of expert human support if needed,Somewhat Comfortable,Data privacy and security,Non,Nil
2/27/2025 14:22,Kisii,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,5,Buying a home,High cost of advisory services,Frequently (Weekly or Monthly),"Mobile Money Services (e.g., M-Pesa)",Yes,"Personalized investment advice, Real-time financial tips, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Somewhat Comfortable,"Accuracy of information, Ease of understanding responses",Data security ,How to avoid many loans as a way of getting capital
3/5/2025 10:35,Machakos,25-40 years,Employed (Full-time),Family Support,Prefer not to say,No,4,Investment opportunities,Lack of financial knowledge,Never,"Banks/Financial Institutions, Family/Friends/Informal Groups",Yes,Personalized investment advice,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Financial support,None
2/28/2025 12:14,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,Prefer not to say,Yes,3,Investment opportunities,Lack of trust in financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Insurance Companies, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support","Accurate and reliable financial advice, Easy-to-use and intuitive interface",Somewhat Comfortable,Accuracy of information,None,None
2/27/2025 14:11,Kitale,25-40 years,Employed (Full-time),Business/Entrepreneurship,Prefer not to say,No,3,Retirement planning,Limited access to financial advisors,Rarely (Only when needed),Family/Friends/Informal Groups,Yes,"Personalized investment advice, Budgeting and expense tracking, Integration with my existing financial accounts",Accurate and reliable financial advice,Very comfortable,Data privacy and security,Open ended ,I have my own financial formula I'd like to incorporate with you to program a financial app
2/28/2025 12:14,Kajiado,25-40 years,Unemployed,Salary/Wages,Prefer not to say,Yes,4,Investment opportunities,Cost of living,Rarely (Only when needed),Banks/Financial Institutions,Yes,"Budgeting and expense tracking, Multilingual support",Strong data privacy and security policies,Somewhat Comfortable,"Data privacy and security, Trust in automated financial advice",Calculator ,No
2/27/2025 14:11,Vihiga,25-40 years,Employed (Part-time),Salary/Wages,"Less than 20,000",No,5,Investment opportunities,"Lack of financial knowledge, Limited access to financial advisors",Frequently (Weekly or Monthly),Online Financial Platforms,Yes,Budgeting and expense tracking,Easy-to-use and intuitive interface,Very comfortable,"Data privacy and security, Ease of understanding responses",None,None 
2/27/2025 14:57,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"100,001 and above",Yes,3,"Buying a home, Retirement planning, Investment opportunities, Managing debt",More demands than income,Rarely (Only when needed),Banks/Financial Institutions,Yes,Personalized investment advice,"Accurate and reliable financial advice, Easy-to-use and intuitive interface",Somewhat Comfortable,Data privacy and security,Forecasting,None 
2/27/2025 14:31,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,4,Investment opportunities,"High cost of advisory services, Lack of trust in financial advisors",Frequently (Weekly or Monthly),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",No,"Personalized investment advice, Budgeting and expense tracking",Availability of expert human support if needed,Very comfortable,"Data privacy and security, Trust in automated financial advice",Alternative method of how I should be breaking down my monthly budget,Na
2/28/2025 11:51,Nairobi,41-60 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,3,Investment opportunities,"Lack of financial knowledge, High cost of advisory services",Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,"Budgeting and expense tracking, Real-time financial tips","Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,Accuracy of information,None,None
2/28/2025 12:12,Nairobi,25-40 years,Self-Employed,Salary/Wages,"20,000-50,000",No,3,Investment opportunities,Lack of financial knowledge,Rarely (Only when needed),Banks/Financial Institutions,Yes,Budgeting and expense tracking,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Somewhat Comfortable,Accuracy of information,Link with my spending data e.g bank/mobile money messages.,Non
2/25/2025 20:50,Kisumu,25-40 years,Teacher ,Business/Entrepreneurship,"50,001-100,000",No,3,Investment opportunities,Lack of financial knowledge,Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa)",Yes,Personalized investment advice,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Somewhat Comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",How to create multiple sources of income ,Digital financial advice missing link in social platforms 
2/27/2025 14:57,Kisumu,25-40 years,Employed (Full-time),Family Support,"20,000-50,000",Yes,2,Investment opportunities,Limited access to financial advisors,Never,Family/Friends/Informal Groups,Yes,Personalized investment advice,Strong data privacy and security policies,Somewhat Comfortable,Trust in automated financial advice,Link with my spending data e.g bank/mobile money messages.,More investment plans 
2/27/2025 9:26,Kisumu,61 years and above,Unemployed,Salary/Wages,"20,000-50,000",No,3,Investment opportunities,Limited access to financial advisors,Frequently (Weekly or Monthly),None,Yes,"Personalized investment advice, Real-time financial tips",Availability of expert human support if needed,Very comfortable,Trust in automated financial advice,Immediate response ,Data privacy and AI hallucinations should be of key priority.
3/4/2025 11:56,Kisumu,41-60 years,Student,Salary/Wages,"20,000-50,000",No,5,"Saving for education, Managing debt",Limited funds,Frequently (Weekly or Monthly),"Banks/Financial Institutions, Family/Friends/Informal Groups",Yes,Personalized investment advice,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,Accuracy of information,Follow up on the efficiency of the advice give ,None 
