source,indicator_id,indicator_name,date,value,units,frequency,region,country_code,retrieval_date
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2023-01-01,27720709000000.0,,Annual,United States,US,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2022-01-01,26006893000000.0,,Annual,United States,US,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2021-01-01,23681171000000.0,,Annual,United States,US,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2020-01-01,21354105000000.0,,Annual,United States,US,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2023-01-01,3380854520809.54,,Annual,United Kingdom,GB,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2022-01-01,3114042471144.39,,Annual,United Kingdom,GB,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2021-01-01,3143323050707.26,,Annual,United Kingdom,GB,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2020-01-01,2696778386607.65,,Annual,United Kingdom,GB,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2023-01-01,4525703903627.53,,Annual,Germany,DE,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2022-01-01,4163596357879.39,,Annual,Germany,DE,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2021-01-01,4348297440387.53,,Annual,Germany,DE,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2020-01-01,3940142541354.1,,Annual,Germany,DE,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2023-01-01,3051831611384.76,,Annual,France,FR,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2022-01-01,2796302210398.84,,Annual,France,FR,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2021-01-01,2966433692008.09,,Annual,France,FR,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2020-01-01,2647926055110.05,,Annual,France,FR,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2023-01-01,4204494802431.55,,Annual,Japan,JP,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2022-01-01,4256410760723.75,,Annual,Japan,JP,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2021-01-01,5034620784584.98,,Annual,Japan,JP,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2020-01-01,5055587093501.59,,Annual,Japan,JP,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2023-01-01,17794783039552.0,,Annual,China,CN,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2022-01-01,17881782683707.3,,Annual,China,CN,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2021-01-01,17820459508852.2,,Annual,China,CN,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2020-01-01,14687744162801.0,,Annual,China,CN,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2023-01-01,3567551674623.01,,Annual,India,IN,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2022-01-01,3353470496886.33,,Annual,India,IN,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2021-01-01,3167270623260.47,,Annual,India,IN,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2020-01-01,2674851578587.27,,Annual,India,IN,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2023-01-01,2173665655937.27,,Annual,Brazil,BR,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2022-01-01,1951923942083.32,,Annual,Brazil,BR,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2021-01-01,1670647399034.67,,Annual,Brazil,BR,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2020-01-01,1476107231194.11,,Annual,Brazil,BR,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2023-01-01,108038588970.595,,Annual,Kenya,KE,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2022-01-01,114448978152.637,,Annual,Kenya,KE,2025-03-15
World Bank,NY.GDP.MKTP.CD,GDP (current US$),2021-01-01,109703658904.994,,Annual,Kenya,KE,2025-03-15
