news_id,headline,content,source,author,date_published,category,ticker_symbols,market_sector,country,raw_sentiment_score,sentiment_label,impact_score,related_entities,stock_price_change,crypto_price_change
1,Chinese Stocks Surge as Beijing Plans Briefing on Consumption - Bloomberg,"China’s benchmark stock index rallied the most in two months on Friday, with consumer shares leading gains on expectations of more policy support for the sector.",Bloomberg,,2025-03-14 05:42:00,Finance,,Tech,China,0.5,Positive,5,,0.0,0.0
2,American Airlines flight catches fire at Denver airport - ABC News,,ABC News,ABC News,2025-03-14 03:45:00,Finance,ABC,Tech,USA,0.0,Neutral,4,ABC,-4.97,0.0
3,"Privatizing Fannie and Freddie not a top priority, says Trump’s new FHFA director - CNN","Bill Pulte, who was confirmed by the US Senate on Thursday to lead the Federal Housing Finance Agency for the Trump administration, said he’s in no rush to privatize Fannie Mae and Freddie Mac, the mortgage behemoths that power more than half of America’s mor…",CNN,Samantha Delouya,2025-03-14 00:59:00,Finance,"FHFA,CNN",Tech,USA,0.24,Positive,1,"FHFA,CNN",-4.34,0.0
4,Ex-Facebook director's new book paints brutal image of Mark Zuckerberg - SFGATE,"Mark Zuckerberg is blasted in a new book, ""Careless People,"" from ex-Facebook director Sarah Wynn-Williams. The company is pushing to slow its spread.",SFGate,Stephen Council,2025-03-13 23:17:10,Finance,FGATE,Tech,Kenya,-0.32,Negative,2,FGATE,2.07,0.0
5,Elon Musk may have been wrong about recent X cyberattacks - TheStreet,Experts have different opinions regarding what caused the X outage.,TheStreet,Samuel O'Brient,2025-03-13 23:03:00,Finance,,Tech,Kenya,0.0,Neutral,3,,0.0,0.0
6,Elon Musk’s Tesla says it could be targeted by retaliatory tariffs - CNN,"Tesla, the electric car company run by Elon Musk, said this week that retaliatory tariffs against US manufacturers could harm its operations and that the US should carefully consider its trade policies, a break from Musk’s ally President Donald Trump.",CNN,Ramishah Maruf,2025-03-13 22:13:00,Finance,CNN,Tech,USA,-0.1,Neutral,3,CNN,-0.17,0.0
7,Fear and resignation after ‘world’s most powerful company’ pays Trump a $100 billion ‘protection fee’ - CNN,"It was a surprise ceremony at the White House presided over by President Donald Trump to unveil a $100 billion investment from what he called the world’s most powerful company, Taiwan Semiconductor Manufacturing Company (TSMC).",CNN,"John Liu, Wayne Chang",2025-03-13 22:00:00,Finance,CNN,Tech,Global,0.27,Positive,2,CNN,-0.1,0.0
8,"Pentagon tasked with providing ‘military options’ to ensure US access to Panama Canal, memo says - CNN","military options” to ensure unfettered American access to the Panama Canal, one of several new directives outlined in what amounts to a major overhaul of US strategic priorities, according to a new memo that was sent to senior leaders and reviewed by CNN.",CNN,"Zachary Cohen, Oren Liebermann",2025-03-13 21:54:00,Finance,CNN,Automotive,USA,0.04,Neutral,2,CNN,-2.66,0.0
9,Wells Fargo positive on new Intel CEO Lip Bu-Tan - Yahoo Finance,Wells Fargo analyst Aaron Rakers reiterated an Equal Weight rating and $25 price target on Intel (INTC) after the company named Lip Bu-Tan as its next CEO...,Yahoo Entertainment,TipRanks,2025-03-13 21:35:31,Finance,,Finance,Kenya,0.0,Neutral,1,,0.0,0.0
10,Crypto lurches toward its biggest Washington victory ever - POLITICO,Lawmakers are quickly moving to advance legislation that could boost the digital assets industry.,Politico,Jasper Goodman,2025-03-13 21:34:33,Finance,ITICO,Tech,USA,0.17,Positive,5,ITICO,-3.45,0.0
11,Trump Admin Wants to Acquire as Much Bitcoin as Possible: White House - Decrypt,A White House official told a room of crypto industry leaders this week that there should be no limit to the size of a U.S. government Strategic Bitcoin Reserve.,Decrypt,Sander Lutz,2025-03-13 21:26:41,Finance,,Finance,Kenya,0.0,Neutral,1,,0.0,0.0
