news_id,headline,content,source,author,date_published,category,ticker_symbols,market_sector,country,raw_sentiment_score,sentiment_label,impact_score,related_entities,stock_price_change,crypto_price_change
31,"Kenya's Safaricom reports higher annual profit, dividend",Kenya's biggest telecoms operator Safaricom reported a rise in annual earnings and dividend as its financial services platform M-Pesa continued to drive growth.,Reuters Kenya,Reuters Staff,2025-03-15 00:00:00,Finance,,Telecom,Kenya,0.0,Neutral,3,"Kenya,NSE,Stocks",-1.22,0.0
21,Sh1.3b tea stuck at port after Sudan bans Kenya imports,Kenyan tea traders are counting huge losses following the ban on imports by Sudanese authorities.,standardmedia,Standard Business,2025-03-14 21:00:00,business,,General,Kenya,0.2,Positive,5,None,0.0,0.0
22,Sudan bans importation of Kenyan products for hosting RSF,"Sudan suspends importation of all products from Kenya effective immediately, in protest of Nairobi's decision to host RSF, Trade Minister Omar Mohamed says.",standardmedia,Standard Business,2025-03-14 17:50:53,business,RSF,Tech,Kenya,0.6,Positive,1,None,-2.79,0.0
23,Musk’s Tesla raises concern over Trump tariffs,MAR 14 – Elon Musk’s electric carmaker Tesla has warned it and other US exporters could be harmed by countries retaliating to Donald Trump’s trade tariffs. Mr Musk is a close ally of the US president and is leading efforts to reduce the size of the federal government. But in an unsigned letter addressed to [...],capitalfm,CONTRIBUTOR,2025-03-14 16:06:06,business,MAR,Tech,Kenya,-0.12,Negative,2,"world,tariffs,raises,musk's,concern,trump,lifestyle,tesla",0.2,0.0
24,"Gold price hits $3,000 mark for first time","MAR 14 – The price of gold has hit the $3,000 per ounce mark for the first time as demand for the precious metal surges amid economic uncertainty over the impact of a global trade war. Spot gold touched a record $3,004.86 per ounce on Friday, with prices having risen by 14% since the start [...]",capitalfm,CONTRIBUTOR,2025-03-14 16:02:33,business,MAR,Tech,Kenya,0.24,Positive,1,"world,hits,gold,mark,first time,price,lifestyle,top story",1.85,0.0
25,EPRA maintains fuel prices unchanged,"NAIROBI, Kenya, Mar 14 – Fuel prices will remain the same for the next one month after the Energy and Petroleum Regulatory Authority (EPRA) today maintained the prices stationary. In a statement, EPRA stated that petrol, diesel, and kerosene will retail at Sh176.58, Sh167.06, and Sh151.39, respectively, in Nairobi until April 14. “In the period [...]",capitalfm,CORRESPONDENT,2025-03-14 15:58:45,business,EPRA,Tech,Kenya,0.0,Neutral,1,"technology,investments in africa,health,aviation,kenya,entertainment,fuel,trade,features,poverty,partnerships,prices,motors,corruption,climate,maintains,wildlife,banks,china communications construction company,transport,featured,africa,startups,insurance,unchanged,companies,epra",-1.73,0.0
26,Vivo Energy partners with RentWorks East Africa for fleet expansion,"The 48-month agreement also involves Caetano Kenya, which will manage vehicle maintenance; Stanbic Bank, the financing partner; and Heritage Insurance, which will provide coverage for the fleet.",standardmedia,Standard Business,2025-03-14 15:51:00,business,,Tech,Kenya,0.0,Neutral,3,None,0.0,0.0
27,KRA establishes trade facilitation centres in Turkana,Kenya Revenue Authority (KRA) has set up three trade facilitation centres in the northern region to boost trade between the neighbouring countries.,standardmedia,Standard Business,2025-03-14 15:02:11,business,KRA,Automotive,Kenya,0.0,Neutral,2,None,4.86,0.0
28,"Fuel prices remain unchanged, three months in a row","Fuel prices remain unchanged in latest EPRA review; Petrol to retail at Sh176.58, Diesel at Sh167.06 and Kerosene at Sh151.39 per litre in Nairobi.",standardmedia,Standard Business,2025-03-14 14:22:46,business,EPRA,Tech,Kenya,0.5,Positive,5,None,-3.37,0.0
29,Hospital to lose equipments as auctioneer moves to recover unpaid rents,"NAIROBI, Kenya, Mar 14 – A Nairobi-based hospital is scheduled to have its medical equipment and vehicles auctioned due to unpaid rent, as detailed in a notice from Jogoo Road Motors Auction Yard. The auction is slated for Wednesday, March 19, 2025, at 10:30 AM, at the Jogoo Road Motors Auction Yard, located opposite Church [...]",capitalfm,LINET WAITE,2025-03-14 13:30:37,business,,Tech,Kenya,0.1,Neutral,1,"auctioneer moves,health,recover,top story,lose,unpaid,featured,hospital,equipments,rents",0.0,0.0
