Investment_Type,Product_Name,Issuer/Provider,Minimum_Investment (KES),Expected_Return (%),Risk_Level,Liquidity,Investment_Term,Regulated_By,Access_Channel,Tax_Implications,Description,Updated_On,Investment_ID
SACCO,Stima SACCO,Stima SACCO Society,2000,8%-13%,Low-Medium,Low,Medium-term,SASRA (SACCO Societies Regulatory Authority),"SACCO Offices, Online","Tax-Free Dividends up to 150,000 KES annually, 5% Withholding Tax above",Energy sector SACCO offering savings and credit products,Mar-25,
SACCO,Mwalimu SACCO,Mwalimu SACCO Society,1500,8%-12%,Low-Medium,Low,Medium-term,SASRA (SACCO Societies Regulatory Authority),"SACCO Offices, Online","Tax-Free Dividends up to 150,000 KES annually, 5% Withholding Tax above",Teachers' SACCO offering savings and credit products,Mar-25,
SACCO,Kenya Police SACCO,Kenya Police SACCO Society,1000,8%-12%,Low-Medium,Low,Medium-term,SASRA (SACCO Societies Regulatory Authority),"SACCO Offices, Online","Tax-Free Dividends up to 150,000 KES annually, 5% Withholding Tax above",Police service SACCO offering savings and credit products,Mar-25,
SACCO,Unaitas SACCO,Unaitas SACCO Society,2000,7%-12%,Low-Medium,Low,Medium-term,SASRA (SACCO Societies Regulatory Authority),"SACCO Offices, Online, Mobile App","Tax-Free Dividends up to 150,000 KES annually, 5% Withholding Tax above",One of Kenya's largest SACCOs with wide membership base,Mar-25,
SACCO,Harambee SACCO,Harambee SACCO Society,1500,7%-11%,Low-Medium,Low,Medium-term,SASRA (SACCO Societies Regulatory Authority),"SACCO Offices, Online","Tax-Free Dividends up to 150,000 KES annually, 5% Withholding Tax above",Civil servants' SACCO offering savings and credit products,Mar-25,
REIT,ILAM Fahari I-REIT,ICEA Lion Asset Management,20000,8%-12%,Medium,Medium,Long-term,Capital Markets Authority (CMA),"NSE, Stockbrokers",5% Withholding Tax on Distributions,Kenya's first listed Real Estate Investment Trust,Mar-25,
REIT,Acorn Student Accommodation REIT,Acorn Investment Management,100000,9%-13%,Medium,Low,Long-term,Capital Markets Authority (CMA),"Private Placement, NSE",5% Withholding Tax on Distributions,REIT focusing on student accommodation properties,Mar-25,
Real Estate,Cytonn Real Estate Investment,Cytonn Investments,1000000,12%-18%,Medium-High,Low,Long-term,Capital Markets Authority (CMA),"Cytonn Offices, Online","Capital Gains Tax, Rental Income Tax",Direct real estate investment products,Mar-25,
Real Estate,HF Real Estate Investment,Housing Finance,5000000,10%-15%,Medium-High,Low,Long-term,Capital Markets Authority (CMA),"HF Branches, Online","Capital Gains Tax, Rental Income Tax",Real estate development and investment projects,Mar-25,
Mobile Money,M-Shwari Lock Savings,Safaricom/NCBA,500,5%-7%,Low,Medium,Short-term (1-12 months),Central Bank of Kenya (CBK),M-Pesa App,15% Withholding Tax,Fixed deposit savings product on M-Pesa platform,Mar-25,
