Timestamp,Location,Age Group,Employment Status,  What is your primary source of income?  ,Monthly Income Range (KES),Access to Financial Advisory Services,Financial Literacy Level,Primary Financial Goals,Financial Challenges,Frequency of Seeking Financial Advice,Which financial advisory services have you used before?  ,Interest in AI-powered Chatbot,Preferred Chatbot Features,Trust Factors for Chatbots,Comfort with Digital Financial Planning,What concerns would you have about using a financial chatbot?  ,Additional Features Requested,Other Comments,Literacy Category,Income Ordinal,Income Category,Adoption Potential,User Segment
2/27/2025 14:57,Nairobi,18-24 Years,Unemployed,Family Support,"50,001-100,000",No,4,"Saving For Education, Managing Debt","Limited Access To Financial Advisors, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),"Insurance Companies, Investment Firms, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",No,Personalized Investment Advice,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,Ease Of Understanding Responses,Advance,Data Privacy And Ai Hallucinations Should Be Of Key Priority.,High,50,Low,Neutral,High Literacy - Low Income
2/27/2025 16:30,Vihiga,41-60 Years,Unemployed,Salary/Wages,"Less Than 20,000",Yes,4,"Buying A Home, Retirement Planning, Investment Opportunities, Managing Debt","Limited Access To Financial Advisors, Lack Of Trust In Financial Advisors",Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Insurance Companies, Investment Firms",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support",Availability Of Expert Human Support If Needed,Somewhat Comfortable,Data Privacy And Security,Non,Nil,High,20,Low,Neutral,High Literacy - Low Income
2/27/2025 14:22,Kisii,25-40 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",No,5,Buying A Home,High Cost Of Advisory Services,Frequently (Weekly Or Monthly),"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Real-Time Financial Tips, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,"Accuracy Of Information, Ease Of Understanding Responses",Data Security,How To Avoid Many Loans As A Way Of Getting Capital,High,20,Low,Neutral,High Literacy - Low Income
3/5/2025 10:35,Machakos,25-40 Years,Employed (Full-Time),Family Support,Prefer Not To Say,No,4,Investment Opportunities,Lack Of Financial Knowledge,Never,"Banks/Financial Institutions, Family/Friends/Informal Groups",Yes,Personalized Investment Advice,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Financial Support,Unknown,High,0,,Neutral,High Literacy - nan Income
2/28/2025 12:14,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,Prefer Not To Say,Yes,3,Investment Opportunities,Lack Of Trust In Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support","Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,Accuracy Of Information,Unknown,Unknown,Medium,0,,Neutral,Medium Literacy - nan Income
2/27/2025 14:11,Kitale,25-40 Years,Employed (Full-Time),Business/Entrepreneurship,Prefer Not To Say,No,3,Retirement Planning,Limited Access To Financial Advisors,Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts",Accurate And Reliable Financial Advice,Very Comfortable,Data Privacy And Security,Open Ended,I Have My Own Financial Formula I'D Like To Incorporate With You To Program A Financial App,Medium,0,,Neutral,Medium Literacy - nan Income
2/28/2025 12:14,Kajiado,25-40 Years,Unemployed,Salary/Wages,Prefer Not To Say,Yes,4,Investment Opportunities,Cost Of Living,Rarely (Only When Needed),Banks/Financial Institutions,Yes,"Budgeting And Expense Tracking, Multilingual Support",Strong Data Privacy And Security Policies,Somewhat Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",Calculator,No,High,0,,Neutral,High Literacy - nan Income
2/27/2025 14:11,Vihiga,25-40 Years,Employed (Part-Time),Salary/Wages,"Less Than 20,000",No,5,Investment Opportunities,"Lack Of Financial Knowledge, Limited Access To Financial Advisors",Frequently (Weekly Or Monthly),Online Financial Platforms,Yes,Budgeting And Expense Tracking,Easy-To-Use And Intuitive Interface,Very Comfortable,"Data Privacy And Security, Ease Of Understanding Responses",Unknown,None,High,20,Low,Neutral,High Literacy - Low Income
2/27/2025 14:57,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"100,001 And Above",Yes,3,"Buying A Home, Retirement Planning, Investment Opportunities, Managing Debt",More Demands Than Income,Rarely (Only When Needed),Banks/Financial Institutions,Yes,Personalized Investment Advice,"Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,Data Privacy And Security,Forecasting,None,Medium,100,Low,Neutral,Medium Literacy - Low Income
2/27/2025 14:31,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",No,4,Investment Opportunities,"High Cost Of Advisory Services, Lack Of Trust In Financial Advisors",Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",No,"Personalized Investment Advice, Budgeting And Expense Tracking",Availability Of Expert Human Support If Needed,Very Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",Alternative Method Of How I Should Be Breaking Down My Monthly Budget,Na,High,20,Low,Neutral,High Literacy - Low Income
