user_id,age,income_monthly,expenses_monthly,debt_amount,dti_ratio,savings,asset_value,credit_score,risk_tolerance,investment_experience,employment_status,education_level,financial_goal,payment_behavior,default_history,risk_score,investment_growth_potential,loan_default_probability
1000,32,139762.51,83679.07,30695.06,0.018,153876.86,468406.59,652,10,3.0,Self-Employed,Bachelor,Home Purchase,0.663,1,2.8,10.66,0.184
1001,35,89609.35,60784.01,0.0,0.0,122646.52,642273.47,556,2,0.7,Employed,High School,Emergency Fund,0.846,0,1.7,3.83,0.155
1002,33,155341.62,90274.77,72647.88,0.039,220372.44,840493.49,665,4,3.1,Employed,Bachelor,Home Purchase,0.792,0,2.5,12.48,0.148
1003,32,286679.72,187432.85,15550.11,0.005,742376.35,1203124.16,566,9,7.7,Employed,Master,Education,0.858,0,1.6,16.48,0.122
1004,37,83791.99,34853.93,60820.5,0.06,410018.92,1457122.94,637,8,0.0,Student,Bachelor,Home Purchase,0.662,0,1.8,6.61,0.217
1005,29,83792.95,61335.94,0.0,0.0,82932.58,522505.31,712,3,4.6,Employed,Bachelor,Wealth Building,0.753,1,2.3,12.61,0.148
1006,36,298178.91,208779.16,400419.66,0.112,1350877.55,1609023.85,620,8,3.1,Employed,Master,Emergency Fund,0.385,1,3.7,11.87,0.293
1007,29,168924.02,97542.93,166550.95,0.082,316010.06,846587.13,807,2,0.1,Employed,Master,Wealth Building,0.753,0,1.0,9.19,0.141
1008,43,71066.26,56773.9,0.0,0.0,386922.11,1420580.96,698,3,4.7,Employed,High School,Wealth Building,0.469,0,1.8,6.04,0.241
1009,34,144320.53,121320.97,0.0,0.0,1627598.91,6777791.53,517,5,0.8,Student,Master,Emergency Fund,0.813,0,1.9,7.7,0.162
1010,52,71368.2,32748.44,309756.41,0.362,399238.16,2036768.68,681,10,0.9,Employed,College,Retirement,0.656,0,2.2,13.26,0.333
1011,30,71252.78,41725.01,0.0,0.0,366505.29,3353201.37,796,10,0.3,Self-Employed,Bachelor,Home Purchase,0.759,1,1.9,11.14,0.131
1012,38,116935.01,68363.56,0.0,0.0,358150.6,1491631.73,704,8,2.3,Employed,College,Education,0.859,0,1.4,14.46,0.11
1013,46,25866.5,14459.75,88532.76,0.285,21646.93,70115.16,676,1,2.1,Employed,High School,Retirement,0.746,0,1.9,9.33,0.302
1014,40,29512.16,24330.45,192434.25,0.543,0.0,0.0,620,4,1.3,Employed,College,Education,0.794,0,2.6,-0.74,0.401
1015,36,66595.93,44680.95,0.0,0.0,22677.36,30464.06,640,1,0.6,Employed,Bachelor,Emergency Fund,0.714,0,2.7,5.22,0.183
1016,38,48582.48,32080.12,29028.55,0.05,204850.15,802943.47,651,1,5.5,Employed,Bachelor,Home Purchase,0.701,0,1.6,2.55,0.212
1017,40,123004.12,49130.39,0.0,0.0,29748.94,618912.1,405,5,6.3,Employed,High School,Retirement,0.682,0,2.7,1.86,0.232
1018,37,52280.73,41579.53,0.0,0.0,41547.14,202760.77,696,6,2.3,Self-Employed,Master,Emergency Fund,0.888,0,1.0,10.22,0.123
1019,34,36731.41,18884.03,0.0,0.0,15695.53,73869.46,749,1,0.8,Employed,PhD,Retirement,0.456,0,1.6,4.48,0.249
1020,42,275392.91,195250.79,31434.45,0.01,791477.87,3316032.4,575,6,0.3,Employed,Bachelor,Wealth Building,0.839,0,1.6,9.69,0.129
1021,34,84284.78,62506.14,0.0,0.0,5874.46,20994.65,673,5,6.1,Employed,Bachelor,Home Purchase,0.423,0,2.0,10.66,0.256
1022,25,103494.09,93568.88,0.0,0.0,841451.19,3471693.45,685,4,0.3,Employed,Bachelor,Home Purchase,0.764,0,1.2,8.28,0.146
1023,55,36412.82,18340.3,3869.42,0.009,50177.33,250136.49,731,10,0.0,Employed,High School,Emergency Fund,0.668,0,1.2,9.71,0.194
1024,43,67435.85,16661.59,196054.01,0.242,310561.4,1049419.54,651,5,1.9,Employed,College,Emergency Fund,0.394,0,2.6,8.24,0.373
1025,25,106686.06,77622.37,0.0,0.0,15060.38,242803.56,703,8,3.9,Unemployed,Master,Emergency Fund,0.432,1,4.2,13.57,0.24
